new number,speaker,content
1,H.N.,"My Theory I think that Eunice is right because temperature will affect the rate of reaction, the higher the temperature the faster the reaction. Since the chemical cell use the principal of displacement reaction, so the rate will also be affected by temperature."
2,C.M.,A wet cell is a cell with the electrolyte in liqiud state. A dry cell is a cell with the electrolyte in pasty low-moisture form. wet cell is a precursor to dry cell and is commnly used as a learning tool for electrochemistry.
3,C.M.,"He is Alessandro Volta. He repeated Galvani's experiments many times with many different materials. And make a conclusion that it was the two dissimilar metals that produced the electicity. In 1800, after extensive experimentation, he developed the voltaic pile.It consisted of a pile of zinc and silver discs and between alternating discs, a piece of cardboard that had been soaked in saltwater. In this way, he discovered the electrochemical series, and the law that the electromotive force of a galcanic cell. The battery made by Volta is credited as the first electrochemical cell. The positive electrode = Zinc The negative electrode = Copper The electrolyte = Sulphuric acid Disadvantage = unsafe to handle = the power of the cell diminishes over time due to the accumulating of hydrogen gas "
4,C.M.,Galvanic cell is made up of two different metals and a salt bridge.  The positive electrode = Zinc The negative electrode = Copper The electrolyte = CuSO4 The electron flows from Zinc to Copper through the external circult. At positive electrode : Zn(s) --> Zn2+(aq) + 2e- At negative electrode : Cu2+(aq) + 2e- --> Cu(s) The usage of the salt bridge: -to balance the charges of the two solution -to complete the circult 
5,J.K.,"daniell cell positive electrode: copper container negative electrode: zinc strip electrolyte: copper (II) sulphate solution and zinc sulphate solution At the negative electrode: Zinc ionizes to form zinc ions and electron. Then the mobile electron flow to the positive electrode in the external circuit. As a result, the mass of the zinc strip decreases. At the positive electrode: The copper(II) ions in the copper(II) sulphate solution react with the electron from the negative electrode to form copper metal. Therefore, copper deposits on the copper container The porous pot acts as a salt bridge. It completes the circuit by allowing ions to move between the two solutions through its small holes. In this cell, sulphate ions move from the positive electrode to the negative electrode via the porous pot, while the zinc ions move in opposite direction to maintain neutrality. The chemical equation for the overall reaction: Zn(s) + Cu2+(aq) Å® Zn2+(aq) + Cu(s)"
6,R.Y.,"I need to understand i want to ask is size really don't matter the voltage? As we have all know that quantity matters insead of size, everybody ries to cut he potato/orange/apple/lemon as small as possible, in other words: as much as possible. But is size really soes not affect?"
7,R.N.,"My Theory I think the reaction between the two is a redox reaction, because when the reaction was enclosed in the small vacant space of dry ice( which means there's no oxygen provided from the atmosphere), the reaction still occurred and the end products were black carbon and white magnesium oxide. In the reaction, the reducing agent is magnesium because it causes the reduction of carbon dioxide; while carbon dioxide is the oxidizing agent as it causes the oxidation of magnesium and the magnesium metal became magnesium oxide. "
8,R.N.,"My Theory I think it is a redox reaction because firstly the copper metal react with oxygen to form copper(II) oxide and then it turned black. After that, when hydrogen gas funnel was put on top of the copper(II) oxide, the black metal oxide turned to its original bronze colour again. When hydrogen gas was added to copper(II) oxide, it acted as reducing agent to cause reduction of the metal oxide and the metal oxide became copper metal again. I would like to ask, why wasn't water formed in the end, as hydrogen reacted with oxygen from the copper(II) oxide."
9,R.N.,"2. What are the different kinds of dry cell nowadays ? How do you compare the lifetime of dry cell by designing an experiment ? Ans : The different kinds of dry cell are: (a)Nickel-cadmium (b)Zinc-carbon cell (c)Silver oxide cell (d)Alkaline manganese cell Procedure of experiment: 1. Set up 4 set ups of voltmeter in an external circuit. 2. Place the 4 cell into the 4 different sets of voltmeter respectively. 3. Close the circuit, adjust the 4 voltmeters to the same voltage. 4. Observe the time for the cell to die away."
10,S.F.,"2. What are the different kinds of dry cell nowadays ? How do you compare the lifetime of dry cell by designing an experiment ? Ans : The different kinds of dry cell are: (a)Nickel-cadmium (b)Zinc-carbon cell (c)Silver oxide cell (d)Alkaline manganese cell Procedure of experiment: 1. Set up 4 set ups of voltmeter in an external circuit. 2. Place the 4 cell into the 4 different sets of voltmeter respectively. 3. Close the circuit, adjust the 4 voltmeters to the same voltage. 4. Observe the time for the cell to die away."
11,H.N.,"2. What are the different kinds of dry cell nowadays ? How do you compare the lifetime of dry cell by designing an experiment ? Ans : The different kinds of dry cell are: (a)Nickel-cadmium (b)Zinc-carbon cell (c)Silver oxide cell (d)Alkaline manganese cell Procedure of experiment: 1. Set up 4 set ups of voltmeter in an external circuit. 2. Place the 4 cell into the 4 different sets of voltmeter respectively. 3. Close the circuit, adjust the 4 voltmeters to the same voltage. 4. Observe the time for the cell to die away."
12,i.l.,I need to understand How do you decide that the cell is 'die'? What is the meaning of 'die' of cell ?
13,R.N.,'Die' means when the light bulbs go out.
14,S.F.,'Die' means when the light bulbs go out.
